Mean,Variance,Skewness,Kurtosis,Power_Delta,Power_Theta,Power_Alpha,Power_Beta,Theta_Alpha_Ratio,Spectral_Entropy,Rolling_Var,Delta_diff,Theta_diff,Alpha_diff,Beta_diff,Delta_Theta_ratio,Alpha_Beta_ratio,Rolling_Mean_Delta,Rolling_Mean_Theta,Label
1.1102230246251566e-17,1.0000000000000002,0.1109790195288728,0.142017356099227,0.4201357092985829,0.223409043316004,0.0743794082564116,0.1952628317936964,3.003600659811461,0.5528080072832818,0.0348052241551221,0.0,0.0,0.0,0.0,1.8805587388223135,0.38091748775572654,0.4201357092985829,0.223409043316004,0
-9.251858538542973e-19,1.0,0.0883876536095281,-0.0805304218354341,0.4304607149716862,0.1788032464449223,0.0576956828976101,0.2740181592025296,3.099021251572306,0.5481358485139685,0.0062889362576724,0.010325005673103294,-0.04460579687108171,-0.016683725358801492,0.07875532740883318,2.407441229894294,0.21055346299696803,0.4252982121351345,0.20110614488046313,1
-1.295260195396016e-17,1.0,0.0147247082161688,0.4600639713685188,0.5135000629343901,0.1678173685092938,0.0361673554013888,0.1776724637070355,4.639894920487587,0.5217236002373434,0.0322625793089697,0.0830393479627039,-0.010985877935628496,-0.0215283274962213,-0.0963456954954941,3.0598561259755805,0.20356081683095287,0.45469882906821973,0.19000988609007338,2
-2.220446049250313e-17,1.0,-0.0785837937393668,0.10873327894799,0.5736869939720646,0.1157785037474818,0.0342558779528197,0.1383187334547231,3.379715568562251,0.491470303413953,0.0286055062479788,0.060186931037674474,-0.05203886476181199,-0.0019114774485691002,-0.0393537302523124,4.95499613837775,0.24765720043866954,0.48444587029418096,0.17145204050442547,2
-6.47630097698008e-18,1.0000000000000002,-0.031312330606874,0.4210532016140749,0.6241415071110755,0.1492244105852166,0.0376189851402545,0.1203009511608655,3.966625984270842,0.4982308281059963,0.0442014617043114,0.05045451313901095,0.033445906837734796,0.003363107187434801,-0.018017782293857587,4.182541731085762,0.31270469661752287,0.5123849976575598,0.1670065145205837,2
-1.6653345369377347e-17,1.0000000000000002,-0.0406213949795506,0.4760202502498245,0.6330945335792395,0.1482126170490197,0.0360498818724445,0.1155159718474749,4.111206421341552,0.4936264926622665,0.0402320849140944,0.008953026468163983,-0.0010117935361969033,-0.0015691032678100056,-0.0047849793133906,4.27150046118807,0.3120743324196869,0.5549767625136912,0.15196722926718684,3
-1.1102230246251566e-17,1.0000000000000002,-0.1010881808441146,0.6482180118892265,0.6281784571319887,0.1310458545331945,0.0357948522356934,0.1129268757069269,3.660922882079715,0.4900961926627648,0.0390785452729266,-0.004916076447250783,-0.01716676251582519,-0.00025502963675110013,-0.002589096140548003,4.793540900845273,0.31697091627393265,0.5945203109457518,0.1424157508848413,3
9.251858538542969e-18,0.9999999999999998,-0.2091015593511036,0.6752275454631707,0.5077634766155876,0.2217319537284816,0.0390354286897553,0.1382349752017223,5.680129078679597,0.5240959492547058,0.0346703241992826,-0.1204149805164011,0.09068609919528708,0.003240576454061901,0.025308099494795386,2.2899775070752844,0.28238256092737396,0.5933729936819911,0.15319866792867884,3
-3.053113317719181e-17,0.9999999999999998,0.041873522582688,0.8014911250889867,0.6392397548382722,0.1569648739564035,0.0407238926330055,0.108374194165744,3.854273487493277,0.4929764468391573,0.0666290753696011,0.1314762782226846,-0.0647670797720781,0.0016884639432502013,-0.029860781035978293,4.072476002113797,0.3757676555644668,0.6064835458552327,0.16143594197046318,3
1.8503717077085946e-18,1.0000000000000004,-0.0910291131139694,0.613396192844863,0.5441868922155998,0.1821550456761712,0.0427840882468257,0.1337697290276777,4.2574423272268325,0.51199249185369,0.0227934294754187,-0.09505286262267243,0.0251901717197677,0.002060195613820197,0.025395534861933702,2.987476425476598,0.3198314650582004,0.5904926228761376,0.16802206898865407,3
-1.8503717077085946e-18,1.0,-0.0634972554837255,0.4817311877372359,0.5333760953694966,0.1879562921770942,0.0477107864097933,0.1174517894496938,3.939410077056228,0.5131658534708902,0.0282720284502838,-0.010810796846103199,0.005801246500923007,0.004926698162967605,-0.0163179395779839,2.8377515402113116,0.40621245892357716,0.570548935234189,0.17597080401426898,3
7.401486830834377e-18,0.9999999999999998,0.2448782993538547,0.2726702462350721,0.5564697041249148,0.1820963074316052,0.0348787569382122,0.1190325235369623,5.220687396250489,0.5070739075057509,0.0204714221641525,0.023093608755418216,-0.005859984745488989,-0.012832029471581102,0.0015807340872684983,3.055891995184618,0.2930162520760939,0.5562071846327742,0.18618089459395112,3
9.251858538542973e-19,1.0,-0.2355882984412483,1.362708506520371,0.6389567575749174,0.1430510553626146,0.0244672449759703,0.0899954841574911,5.8463962373722245,0.4709601838946266,0.0479322731546856,0.08248705345000262,-0.03904525206899062,-0.010411511962241899,-0.02903703937947119,4.46660312538161,0.27186889804665443,0.5824458408246402,0.17044471492077776,3
1.4802973661668754e-17,1.0000000000000002,-0.087105553375423,0.3796580529529474,0.5829312245869184,0.1707049217729136,0.0407043160672711,0.0926278244320353,4.193676361357821,0.4875138063683081,0.0397891968977827,-0.05602553298799906,0.027653866410299016,0.016237071091300802,0.00263234027454419,3.4148271983345673,0.43943466104481493,0.5711841347743694,0.17319272448407977,3
-2.220446049250313e-17,1.0000000000000002,0.003311061563199,0.1577783537929735,0.6238006318046951,0.153662001507134,0.0268881501842572,0.1003604770154248,5.71464700275646,0.4736489815755898,0.0277024264131303,0.040869407217776765,-0.01704292026577961,-0.013816165883013903,0.00773265258338951,4.05953694569564,0.2679130577176011,0.5871068826921885,0.16749411565027233,3
1.295260195396016e-17,1.0000000000000002,0.0623859729192318,0.2502135455916434,0.6036970664442852,0.1746765791383587,0.0360210251492426,0.0945819679781867,4.849160434891077,0.4947826002385387,0.0204533685024263,-0.020103565360409914,0.021014577631224718,0.009132874964985403,-0.005778509037238103,3.4560649936996697,0.3808405035201474,0.6011710769071462,0.16483817304252524,3
