Mean,Variance,Skewness,Kurtosis,Power_Delta,Power_Theta,Power_Alpha,Power_Beta,Theta_Alpha_Ratio,Spectral_Entropy,Rolling_Var,Label
1.1102230246251566e-17,1.0000000000000002,0.11097901952887289,0.14201735609922705,0.4201357092985829,0.223409043316004,0.07437940825641169,0.19526283179369644,3.003600659811461,0.5528080072832818,0.03480522415512217,0
-9.251858538542971e-19,1.0,0.08838765360952812,-0.08053042183543413,0.4304607149716862,0.17880324644492238,0.05769568289761018,0.27401815920252964,3.099021251572306,0.5481358485139685,0.006288936257672446,1
-1.295260195396016e-17,1.0,0.014724708216168876,0.46006397136851884,0.5135000629343901,0.16781736850929385,0.036167355401388844,0.1776724637070355,4.639894920487587,0.5217236002373434,0.03226257930896976,2
-2.2204460492503132e-17,0.9999999999999999,-0.07858379373936683,0.10873327894799001,0.5736869939720646,0.1157785037474818,0.03425587795281974,0.13831873345472318,3.379715568562251,0.491470303413953,0.028605506247978814,2
-6.47630097698008e-18,1.0000000000000002,-0.03131233060687409,0.4210532016140749,0.6241415071110755,0.14922441058521668,0.03761898514025456,0.12030095116086559,3.966625984270842,0.49823082810599634,0.04420146170431145,2
-1.6653345369377347e-17,1.0000000000000002,-0.04062139497955066,0.47602025024982453,0.6330945335792395,0.14821261704901978,0.036049881872444546,0.11551597184747492,4.111206421341552,0.4936264926622665,0.04023208491409449,3
-1.1102230246251566e-17,1.0000000000000002,-0.10108818084411468,0.6482180118892265,0.6281784571319887,0.1310458545331945,0.03579485223569346,0.11292687570692693,3.660922882079715,0.4900961926627648,0.03907854527292667,3
9.25185853854297e-18,0.9999999999999998,-0.2091015593511036,0.6752275454631707,0.5077634766155876,0.2217319537284816,0.039035428689755305,0.1382349752017223,5.680129078679597,0.5240959492547058,0.03467032419928261,3
-3.053113317719181e-17,0.9999999999999998,0.04187352258268803,0.8014911250889867,0.6392397548382722,0.15696487395640357,0.04072389263300555,0.10837419416574404,3.8542734874932774,0.4929764468391573,0.06662907536960118,3
1.8503717077085942e-18,1.0000000000000004,-0.09102911311396941,0.613396192844863,0.5441868922155998,0.18215504567617127,0.04278408824682576,0.13376972902767773,4.2574423272268325,0.51199249185369,0.02279342947541876,3
-1.8503717077085942e-18,1.0,-0.06349725548372559,0.4817311877372359,0.5333760953694966,0.18795629217709425,0.047710786409793336,0.11745178944969382,3.9394100770562277,0.5131658534708902,0.02827202845028384,3
7.401486830834377e-18,0.9999999999999998,0.24487829935385474,0.2726702462350721,0.5564697041249148,0.1820963074316052,0.03487875693821224,0.11903252353696232,5.220687396250489,0.5070739075057509,0.020471422164152556,3
9.251858538542971e-19,1.0,-0.23558829844124837,1.362708506520371,0.6389567575749174,0.14305105536261464,0.024467244975970307,0.08999548415749112,5.8463962373722245,0.4709601838946266,0.0479322731546856,3
1.4802973661668754e-17,1.0000000000000002,-0.087105553375423,0.3796580529529474,0.5829312245869184,0.17070492177291366,0.04070431606727114,0.09262782443203536,4.193676361357821,0.48751380636830816,0.03978919689778273,3
-2.2204460492503132e-17,1.0000000000000002,0.0033110615631990604,0.15777835379297356,0.6238006318046951,0.15366200150713405,0.026888150184257255,0.10036047701542485,5.71464700275646,0.4736489815755898,0.02770242641313035,3
1.295260195396016e-17,1.0000000000000002,0.06238597291923185,0.25021354559164344,0.6036970664442852,0.17467657913835874,0.03602102514924264,0.09458196797818677,4.849160434891077,0.4947826002385387,0.020453368502426343,3
-5.551115123125783e-18,1.0000000000000002,0.0537136257223372,0.38171014128773395,0.6422454167841022,0.1645635694894666,0.028614444652098104,0.08711393494729813,5.750865362750904,0.4721369757052157,0.05558388229004667,3
3.053113317719181e-17,1.0,-0.06418092571314359,1.5527377219222638,0.7357072719991378,0.12626463155198994,0.021123152522209497,0.0699708873355361,5.977263770427614,0.44146243374541955,0.11816780066498492,3
2.0354088784794535e-17,1.0,0.025789836136121735,0.11373953547663218,0.6482988876321102,0.15117492430931717,0.028507999516853406,0.08964720701311173,5.302708859353288,0.470650613654611,0.029548868234162213,3
1.9891495857867388e-17,1.0000000000000002,-0.02857745318282808,0.7179827524259892,0.6750296934479051,0.10005618130754368,0.017564380656673227,0.08303849582406654,5.696214802468942,0.44899323463543434,0.03773293844492711,3
1.9428902930940238e-17,1.0000000000000002,-0.1440266256341405,0.5175953520649506,0.7415465353930976,0.1313104818905994,0.01636377559234299,0.06960790095652285,8.023970823775855,0.4450518785568607,0.035624701674649234,3
-8.326672684688674e-18,1.0000000000000002,-0.0709986095625995,0.5668571746900364,0.6881081673144628,0.16347166813280323,0.01803805334193216,0.06584198339560463,9.06209794018458,0.45070690763964494,0.06274561341595923,3
-1.1102230246251566e-17,0.9999999999999999,0.2296812459980983,1.3051050911076807,0.7616552372306228,0.11621884718679029,0.016731344464603885,0.058026833905731344,6.945759898300158,0.40611725902909473,0.10576756476164924,3
1.0639637319324418e-17,1.0000000000000002,-0.08303327286472476,0.5513821972427677,0.7245339140753093,0.15531480842005096,0.023688819319621263,0.08397383100997499,6.556183748155916,0.4556629186231746,0.04310955808632356,3
-1.0177044392397268e-17,0.9999999999999999,-0.3053473141708203,1.310468610613663,0.7808915771833513,0.10029782940354288,0.01262124879945384,0.04683925444771376,7.946114119370135,0.3907682781492188,0.11205948950272408,3
-1.295260195396016e-17,1.0000000000000002,-0.14574884599634408,0.020932770695160308,0.7160944914004663,0.13447685544996985,0.018291197063165152,0.07587309129758774,7.351596693694318,0.4486245437962173,0.022552972024547327,3
5.551115123125783e-18,0.9999999999999999,0.0750878385003042,0.6869141453640006,0.656580201871531,0.09721593673299475,0.01636507143491944,0.06269957797392042,5.940089967197023,0.43439094534279954,0.03325849312721747,3
1.9428902930940238e-17,1.0,-0.6148495109645358,3.0571350402076884,0.7293592056672988,0.11602201396746288,0.013617100319609646,0.04223389217779196,8.519691531453528,0.4122196511403528,0.10781684345648587,3
2.0354088784794535e-17,1.0000000000000002,-0.07581772288597365,-0.0443622194330322,0.7336202392173254,0.11762314702843898,0.01856303098229275,0.06288588238279398,6.336077931599743,0.43623999524900875,0.023954754135351572,3
-9.25185853854297e-18,0.9999999999999998,-0.1050449112096856,0.7149169027804958,0.6192353329630964,0.1363905258152136,0.021762999745487784,0.06533643057136146,6.266795047334566,0.45211064689412717,0.05299171882938341,3
-2.1741867565575982e-17,1.0,-0.12109456613838171,0.1907394058824723,0.7270533564339549,0.11766049717848513,0.014201337145196374,0.06356290637402998,8.284586964496981,0.4243077219290599,0.03056708378253542,3
7.401486830834377e-18,1.0,0.06459545216856839,0.1549555446023847,0.7322704133689527,0.11143517557105947,0.01564266883825982,0.0740931360451827,7.123340229404611,0.42812265139410083,0.041626475449169045,3
-4.625929269271485e-18,0.9999999999999999,-0.03544389652478551,-0.013937663818872625,0.790470893097283,0.0987684712512309,0.010184286436147348,0.054966928110315325,9.697171686866248,0.4119607299119813,0.030180439339170615,3
-1.1102230246251566e-17,0.9999999999999999,-0.21766194225627344,0.7477259182621108,0.7551263187298232,0.10202650844570295,0.012474392293381197,0.04860009244782938,8.178220455627114,0.40529481365871733,0.03697289704947476,3
3.608224830031759e-17,1.0,0.21510536231528388,0.26763167210128636,0.7668323966406377,0.09360567544183815,0.011465981014599447,0.04718359535165868,8.163061866297848,0.39530276893416727,0.04323908294769433,3
-2.4054832200211726e-17,1.0,0.08943496289001816,0.3729806030165239,0.7750130588387635,0.07330037393065805,0.011571210847523092,0.05827090113086681,6.33417200018847,0.4030496938578704,0.04819193983081052,3
1.61907524424502e-17,1.0000000000000002,-0.08962042023538878,0.004018125704461806,0.7920634451173111,0.08414997918663185,0.0077419872092676575,0.037551494915755414,10.867895931161026,0.38049015793860236,0.03953478895445051,3
-2.4054832200211726e-17,1.0,-0.7470193916698171,3.5917856016887644,0.6929409614682751,0.10847196710797774,0.010326621714542517,0.042649741115039774,10.503092590546412,0.41409484427430315,0.08724943872590236,3
1.8503717077085942e-18,1.0,0.011321380762974486,0.0301761165118295,0.7612373442003343,0.09055998091788667,0.012647386928241702,0.049677775135561285,7.159804758635396,0.40465828568160217,0.03601050895466358,3
-2.7755575615628914e-17,1.0,-0.1135728180015721,-0.08036520113019696,0.7824516006439721,0.09170952657432659,0.011193063779341808,0.049227296036926764,8.192692875626886,0.40646248747176744,0.030063495874002748,3
-9.251858538542971e-19,1.0,0.0897216365193854,0.8791564163376404,0.7781695019759084,0.08636890220442758,0.010538990137416451,0.04395571037535443,8.194400666260796,0.390466836708363,0.07329877200971238,3
2.2204460492503132e-17,0.9999999999999998,-0.1247062971593785,0.21948574402774357,0.7949561622724556,0.09654227408574599,0.011273097501196115,0.04213542411778423,8.563193113728477,0.3976829713950212,0.03848167946099836,3
1.7115938296304497e-17,1.0,-0.10891927685159389,0.13171713998485357,0.7232640172627338,0.12166619788450313,0.013156425360545813,0.053318772539629765,9.246960902346022,0.4247194276648868,0.060860553341611966,3
3.7007434154171884e-18,1.0,0.3190322214168545,0.9650554868177408,0.7607496426957748,0.11771695779678046,0.012720095713062853,0.05836679139564152,9.253680693236275,0.41404991517849105,0.05396281320612618,3
2.4980018054066023e-17,0.9999999999999998,0.011104760445329601,0.32621687816132683,0.7834387123070369,0.10197901551575489,0.009531176321187008,0.04118512576719881,10.698397939732594,0.40811555303831737,0.054230142606738155,3
2.2204460492503132e-17,1.0000000000000002,0.002742234211327738,0.2964799978705641,0.7625660126421865,0.1018474954007352,0.010724738380978736,0.047273551521086296,9.49561622548559,0.4090714662595572,0.031886368104801915,3
4.625929269271485e-18,1.0,0.2182296548977714,-0.18955030748816304,0.7445252572440013,0.09868809319982813,0.009938074038683712,0.050482510742136555,9.929304562550373,0.4095989929871961,0.029723600391788764,3
-2.7755575615628915e-18,1.0,-0.13175638096895026,0.19946134199082355,0.7991698463640571,0.08472988450509121,0.007468736820680116,0.03562246046285802,11.343088322806077,0.384454859690475,0.059775540765374884,3
-4.625929269271485e-18,1.0000000000000002,0.18803293537781973,0.03981782146328561,0.7631653550868597,0.09306283886567876,0.010268543704931271,0.047912963823910984,9.06202276747617,0.4088828390983098,0.023928953927971206,3
-2.266705341943028e-17,1.0000000000000002,-0.2051450126123754,0.5755926524143629,0.7688501756907957,0.09776119607929074,0.01163062542593925,0.05121123258005173,8.404775128098365,0.4168448244990023,0.04122873270778466,3
2.7755575615628915e-18,0.9999999999999998,-0.16296669438672526,0.4117759499835949,0.8002273436633589,0.09141539846056089,0.010696689667435956,0.045501375816592755,8.545340283971008,0.3929674351977832,0.040893534466101986,3
2.1279274638648835e-17,1.0,0.054765924902506015,-0.21323408792539,0.7637269149859621,0.0879132929315786,0.008946650385507012,0.045245396392741076,9.825293696541436,0.40427643092926246,0.028161672862216387,3
1.850371707708594e-17,0.9999999999999999,-0.023190212561735226,-0.2533690591108235,0.6815419644267993,0.09325937494678367,0.012361937647303211,0.052080643511930404,7.543463989493372,0.42685895174405364,0.027089045102495317,3
-3.9782991715734776e-17,0.9999999999999999,-0.06877452306109381,-0.08242236697998173,0.7752403405965392,0.06755314619829958,0.009194667548283218,0.04000943277424269,7.346192741701651,0.385072574418754,0.039143846403270156,3
-2.0354088784794535e-17,1.0,-0.058032560374124624,0.4092494540205336,0.7762502951552152,0.07112727698000978,0.00981327241801991,0.03763953550274764,7.247330617134037,0.38465799989617633,0.050105680806693156,3
-1.850371707708594e-17,0.9999999999999999,0.11752964468007161,0.6176686669674547,0.6907573481924458,0.1478911583459805,0.011364802804963126,0.05951136016647743,13.011941249007117,0.4369364639204024,0.03975023098186191,3
1.1102230246251566e-17,1.0000000000000002,-0.24401068079415064,0.3329566690911703,0.8094358812813616,0.06953940882696814,0.00942721159481147,0.04218130628540555,7.375673331858297,0.39671566883657094,0.05304667018388357,3
-1.4802973661668754e-17,0.9999999999999998,0.15692463115636393,1.0371577140010988,0.8115846396826025,0.07471230802594926,0.007351931894055676,0.03489922812973409,10.16088671871813,0.3748971036778781,0.1426657087629393,3
2.7755575615628915e-18,1.0,-0.1309953635137734,0.3543991345968709,0.7023335530986553,0.12601947285344078,0.012116239051760232,0.047033906329735115,10.400015409049336,0.4251508395161219,0.034875085709902914,3
8.326672684688674e-18,1.0000000000000002,-0.19118360751338723,0.19666525419747716,0.8077344906666778,0.07716802696590154,0.007923682495124347,0.03608275934696996,9.737680596462898,0.3845893727710168,0.04123211085631045,3
-2.7755575615628915e-18,0.9999999999999999,-0.40250371674027136,1.644482598436424,0.7600842974020557,0.0822297415574853,0.00718286421336717,0.03179830520686119,11.44644986530768,0.39257084605041564,0.07768605208052216,3
-2.266705341943028e-17,1.0000000000000002,-0.3060507138360382,0.3583507762699969,0.8067750414290175,0.0700863316826991,0.008203024705473747,0.0473051427985761,8.542920602852075,0.38612220991159873,0.054466869283222925,3
